2019-04-27,19805,1,JFK,LAX,854,-6,1217,2,355,2475,1
2019-04-27,19805,2,LAX,JFK,944,14,1736,-29,269,2475,2
2019-04-27,19805,3,JFK,LAX,1224,-6,1614,39,371,2475,3
2019-04-27,19805,4,LAX,JFK,1240,25,2028,-27,264,2475,4
2019-04-27,19805,5,DFW,HNL,1300,-5,1650,15,510,3784,5
2019-04-27,19805,6,OGG,DFW,1901,126,640,95,385,3711,6
2019-04-27,19805,7,DFW,OGG,1410,125,1743,138,497,3711,7
2019-04-27,19805,8,HNL,DFW,1659,4,458,-22,398,3784,8
2019-04-27,19805,9,JFK,LAX,648,-7,1029,19,365,2475,9
2019-04-27,19805,10,LAX,JFK,2156,21,556,1,265,2475,10
2019-04-27,19805,12,LAX,JFK,1113,-2,1910,-40,267,2475,11
2019-04-27,19805,14,OGG,LAX,2235,5,618,-17,270,2486,12
2019-04-27,19805,15,BOS,ORD,611,-9,756,-19,129,867,13
2019-04-27,19805,16,SFO,JFK,1312,17,2107,-33,268,2586,14
2019-04-27,19805,17,ATL,MIA,630,-5,813,-17,83,594,15
2019-04-27,19805,18,SFO,JFK,22,112,833,88,288,2586,16
2019-04-27,19805,19,JFK,LAX,1024,-6,1353,18,359,2475,17
2019-04-27,19805,20,SFO,JFK,1715,135,130,120,277,2586,18
2019-04-27,19805,21,JFK,LAX,1906,-4,2246,16,359,2475,19
2019-04-27,19805,22,LAX,JFK,1458,-2,2336,11,272,2475,20
